iter	Passed	Remaining
0	9	9050
1	17	8801
2	25	8564
3	33	8305
4	40	8139
5	48	8076
6	56	7973
7	64	7980
8	72	7941
9	80	7944
10	88	7994
11	96	7965
12	104	7970
13	112	7943
14	122	8076
15	131	8082
16	141	8156
17	150	8223
18	158	8166
19	165	8121
20	173	8093
21	181	8063
22	190	8081
23	198	8082
24	207	8109
25	215	8079
26	223	8042
27	230	8002
28	238	7971
29	245	7940
30	252	7878
31	259	7841
32	266	7815
33	273	7776
34	280	7741
35	287	7707
36	296	7720
37	304	7706
38	311	7674
39	318	7644
40	325	7621
41	333	7604
42	340	7583
43	347	7554
44	354	7523
45	361	7493
46	368	7466
47	375	7442
48	382	7420
49	389	7394
50	397	7388
51	404	7372
52	411	7358
53	418	7336
54	425	7316
55	433	7307
56	440	7292
57	448	7280
58	455	7271
59	463	7260
60	470	7247
61	478	7237
62	485	7220
63	493	7214
64	501	7216
65	510	7221
66	518	7222
67	526	7213
68	533	7202
69	542	7201
70	549	7189
71	557	7181
72	564	7168
73	571	7153
74	579	7143
75	586	7131
76	593	7115
77	601	7110
78	608	7098
79	615	7082
80	624	7089
81	632	7079
82	639	7067
83	647	7059
84	654	7047
85	662	7039
86	670	7032
87	677	7021
88	684	7010
89	693	7012
90	701	7003
91	708	6997
92	716	6990
93	723	6976
94	732	6974
95	739	6962
96	746	6949
97	754	6946
98	762	6939
99	769	6926
100	777	6916
101	784	6903
102	790	6888
103	798	6880
104	805	6869
105	813	6861
106	821	6854
107	828	6844
108	836	6838
109	844	6832
110	852	6825
111	859	6814
112	867	6808
113	874	6798
114	881	6786
115	889	6778
116	896	6767
117	903	6756
118	911	6747
119	919	6742
120	926	6733
121	934	6723
122	941	6715
123	949	6709
124	957	6703
125	965	6696
126	974	6698
127	982	6692
128	991	6692
129	998	6682
130	1005	6672
131	1013	6662
132	1022	6662
133	1031	6668
134	1040	6664
135	1048	6661
136	1056	6657
137	1064	6648
138	1072	6643
139	1080	6639
140	1089	6638
141	1098	6638
142	1106	6630
143	1114	6626
144	1123	6624
145	1132	6623
146	1140	6620
147	1152	6634
148	1161	6636
149	1172	6646
150	1182	6649
151	1193	6659
152	1202	6657
153	1211	6653
154	1220	6653
155	1229	6650
156	1238	6649
157	1247	6649
158	1256	6644
159	1264	6636
160	1272	6629
161	1282	6636
162	1291	6630
163	1298	6620
164	1306	6613
165	1314	6604
166	1322	6596
167	1330	6591
168	1337	6578
169	1346	6574
170	1354	6567
171	1362	6557
172	1369	6545
173	1376	6534
174	1384	6525
175	1391	6513
176	1398	6503
177	1405	6492
178	1413	6481
179	1420	6471
180	1428	6463
181	1435	6453
182	1443	6443
183	1450	6433
184	1458	6425
185	1466	6416
186	1474	6408
187	1481	6398
188	1489	6390
189	1496	6380
190	1504	6372
191	1513	6369
192	1521	6360
193	1529	6355
194	1537	6348
195	1545	6340
196	1553	6331
197	1561	6323
198	1570	6320
199	1577	6310
200	1585	6302
201	1593	6294
202	1600	6285
203	1610	6285
204	1618	6276
205	1626	6269
206	1634	6262
207	1643	6257
208	1651	6249
209	1658	6240
210	1666	6232
211	1675	6226
212	1683	6221
213	1691	6214
214	1699	6206
215	1707	6199
216	1715	6191
217	1723	6184
218	1731	6176
219	1740	6171
220	1748	6163
221	1756	6154
222	1764	6147
223	1773	6142
224	1781	6134
225	1789	6129
226	1798	6123
227	1806	6116
228	1814	6109
229	1823	6104
230	1831	6097
231	1839	6089
232	1847	6080
233	1855	6074
234	1863	6066
235	1871	6057
236	1879	6049
237	1887	6041
238	1894	6033
239	1904	6029
240	1912	6024
241	1921	6017
242	1930	6012
243	1938	6007
244	1947	6001
245	1957	5998
246	1966	5993
247	1974	5988
248	1983	5981
249	1991	5975
250	2000	5970
251	2008	5962
252	2017	5955
253	2025	5947
254	2032	5939
255	2040	5931
256	2049	5925
257	2057	5916
258	2065	5908
259	2072	5900
260	2080	5892
261	2088	5883
262	2096	5874
263	2103	5864
264	2111	5856
265	2119	5848
266	2127	5841
267	2135	5833
268	2143	5825
269	2151	5818
270	2159	5808
271	2167	5800
272	2176	5795
273	2184	5788
274	2192	5780
275	2201	5775
276	2210	5768
277	2219	5765
278	2228	5757
279	2236	5750
280	2245	5745
281	2253	5738
282	2262	5731
283	2271	5725
284	2280	5720
285	2288	5713
286	2297	5706
287	2304	5698
288	2313	5692
289	2321	5683
290	2329	5674
291	2336	5665
292	2344	5657
293	2352	5649
294	2361	5643
295	2369	5635
296	2377	5627
297	2385	5620
298	2393	5611
299	2401	5602
300	2408	5594
301	2416	5585
302	2424	5576
303	2432	5568
304	2439	5559
305	2448	5552
306	2455	5542
307	2463	5535
308	2471	5526
309	2479	5517
310	2487	5509
311	2494	5501
312	2502	5493
313	2511	5486
314	2519	5478
315	2527	5470
316	2535	5462
317	2543	5453
318	2550	5445
319	2559	5438
320	2568	5432
321	2575	5423
322	2583	5415
323	2592	5408
324	2599	5399
325	2608	5392
326	2616	5384
327	2624	5376
328	2633	5370
329	2641	5363
330	2649	5355
331	2657	5347
332	2665	5339
333	2673	5331
334	2681	5323
335	2691	5318
336	2699	5311
337	2710	5308
338	2718	5301
339	2727	5293
340	2734	5285
341	2743	5278
342	2752	5272
343	2760	5264
344	2768	5255
345	2776	5247
346	2784	5239
347	2791	5230
348	2799	5222
349	2807	5214
350	2815	5205
351	2823	5197
352	2831	5188
353	2838	5180
354	2847	5173
355	2854	5164
356	2863	5157
357	2871	5149
358	2879	5140
359	2887	5133
360	2895	5124
361	2903	5116
362	2911	5109
363	2919	5101
364	2927	5093
365	2935	5085
366	2943	5076
367	2951	5068
368	2959	5060
369	2967	5053
370	2975	5045
371	2983	5037
372	2991	5027
373	2999	5020
374	3007	5011
375	3015	5004
376	3023	4995
